tconst	parent_tconst	ssnNum	epNum	runTime
tt10529410	tt10233448	1	2	24
tt10529416	tt10233448	1	3	24
tt10529418	tt10233448	1	4	24
tt10529424	tt10233448	1	5	24
tt10529430	tt10233448	1	6	24
tt10529434	tt10233448	1	7	24
tt10529438	tt10233448	1	8	24
tt10529440	tt10233448	1	9	24
tt10529442	tt10233448	1	10	24
tt10529444	tt10233448	1	11	24
tt10529448	tt10233448	1	12	24
tt10592808	tt10233448	1	13	26
tt10592810	tt10233448	1	14	26
tt10592816	tt10233448	1	15	26
tt10761004	tt4288182	4	1	28
tt10761008	tt4288182	4	2	31
tt10761014	tt4288182	4	3	32
tt10761016	tt4288182	4	4	26
tt10761018	tt4288182	4	5	28
tt10761026	tt4288182	4	6	26
tt10761030	tt4288182	4	7	32
tt10761034	tt4288182	4	8	35
tt1084790	tt0460649	3	1	22
tt10944986	tt5057054	3	8	56
tt1094834	tt0460649	3	4	22
tt1097293	tt0460649	3	3	22
tt11116700	tt10233448	1	16	25
tt11116702	tt10233448	1	17	25
tt11116704	tt10233448	1	18	25
tt1115217	tt0460649	3	2	22
tt1117436	tt0460649	3	6	22
tt1117701	tt0417299	3	6	25
tt11198334	tt11198330	1	1	66
tt11198336	tt11198330	1	2	54
tt11198338	tt11198330	1	3	63
tt11198340	tt11198330	1	4	63
tt11198342	tt11198330	1	5	59
tt11198346	tt11198330	1	6	67
tt11198348	tt11198330	1	7	59
tt11198350	tt11198330	1	8	67
tt11198352	tt11198330	1	9	58
tt11198354	tt11198330	1	10	59
tt1120228	tt0460649	3	7	22
tt1121411	tt0460649	3	5	22
tt1127369	tt0417299	3	9	30
tt11294350	tt10233448	1	19	25
tt11294352	tt10233448	1	20	25
tt11294354	tt10233448	1	21	25
tt11294356	tt10233448	1	22	25
tt11294358	tt10233448	1	23	25
tt11294360	tt10233448	1	24	25
tt1132642	tt0417299	3	11	22
tt1133641	tt0417299	3	10	22
tt1136036	tt0417299	3	12	25
tt1140904	tt0460649	3	8	22
tt1142665	tt0460649	3	9	22
tt11465486	tt10726424	1	1	9
tt1154186	tt0460649	3	11	22
tt1155839	tt0460649	3	10	21
tt1164723	tt0279600	7	14	42
tt1166830	tt0417299	3	13	24
tt1173416	tt0279600	7	15	40
tt1176477	tt0417299	3	14	23
tt1193652	tt0417299	3	16	24
tt1194313	tt0417299	3	15	22
tt11957006	tt3581920	1	1	81
tt1200236	tt0279600	7	16	42
tt1200237	tt0279600	7	17	40
tt1203040	tt0460649	3	12	22
tt1204261	tt0417299	3	17	25
tt1204262	tt0417299	3	18	22
tt1204263	tt0417299	3	19	22
tt1204264	tt0417299	3	20	22
tt1204265	tt0417299	3	21	21
tt1204516	tt0460649	3	13	22
tt1206866	tt0460649	3	15	22
tt1206867	tt0460649	3	16	22
tt1206868	tt0460649	3	17	22
tt1206869	tt0460649	3	18	22
tt1206870	tt0460649	3	19	22
tt1206871	tt0460649	3	20	22
tt1206872	tt0460649	3	14	21
tt1208489	tt0279600	7	19	42
tt1208490	tt0279600	7	20	41
tt1211751	tt0279600	7	18	41
tt12284136	tt7826376	2	1	32
tt1256171	tt0460649	4	10	22
tt1256172	tt0460649	4	11	30
tt1256173	tt0460649	4	12	30
tt1256174	tt0460649	4	13	30
tt1256175	tt0460649	4	14	30
tt1256176	tt0460649	4	15	30
tt1256177	tt0460649	4	16	30
tt1256178	tt0460649	4	17	30
tt1256179	tt0460649	4	18	30
tt1256180	tt0460649	4	19	30
tt1256181	tt0460649	4	2	30
tt1256182	tt0460649	4	20	30
tt1256183	tt0460649	4	22	30
tt1256184	tt0460649	4	21	30
tt1256185	tt0460649	4	3	22
tt1256186	tt0460649	4	4	30
tt1256187	tt0460649	4	5	22
tt1256188	tt0460649	4	6	21
tt1256189	tt0460649	4	7	30
tt1256190	tt0460649	4	8	22
tt1256191	tt0460649	4	9	30
tt1256606	tt0460649	4	1	22
tt1263577	tt0279600	8	2	42
tt1266014	tt0279600	8	3	42
tt12662722	tt10726424	1	3	8
tt12662794	tt10726424	1	5	7
tt12662804	tt10726424	1	6	8
tt12662812	tt10726424	1	7	8
tt12662818	tt10726424	1	8	9
tt12662830	tt10726424	1	9	9
tt12662836	tt10726424	1	10	8
tt12662912	tt10726424	1	2	8
tt12662914	tt10726424	1	4	7
tt1267037	tt0279600	8	10	42
tt1267038	tt0279600	8	11	42
tt1267039	tt0279600	8	12	42
tt1267040	tt0279600	8	13	42
tt1267041	tt0279600	8	4	42
tt1267042	tt0279600	8	5	42
tt1267043	tt0279600	8	6	42
tt1267044	tt0279600	8	7	42
tt1267045	tt0279600	8	8	42
tt1267046	tt0279600	8	9	42
tt1267291	tt0279600	8	1	42
tt12984026	tt10048342	1	7	68
tt1329871	tt0279600	8	15	42
tt1329872	tt0279600	8	14	42
tt1337080	tt0279600	8	17	60
tt1337081	tt0279600	8	16	43
tt13457770	tt10726424	2	1	
tt13498242	tt5057054	3	2	52
tt13498250	tt5057054	3	3	46
tt13498252	tt5057054	3	4	49
tt1360618	tt0279600	8	18	43
tt1366090	tt0279600	8	19	43
tt1385356	tt0279600	8	20	43
tt1390458	tt0279600	8	21	43
tt1396207	tt0279600	8	22	60
tt14026650	tt7826376	2	3	33
tt14026776	tt7826376	2	2	34
tt14077386	tt13443470	1	1	57
tt14077394	tt13443470	1	2	47
tt14077396	tt13443470	1	3	45
tt14077400	tt13443470	1	4	48
tt14077402	tt13443470	1	5	50
tt14077404	tt13443470	1	6	48
tt14077406	tt13443470	1	8	50
tt14077408	tt13443470	1	7	45
tt1410619	tt0460649	4	23	30
tt1413326	tt1355642	1	1	24
tt1413327	tt1355642	1	2	24
tt1415049	tt1355642	1	4	24
tt1415050	tt1355642	1	3	24
tt1415051	tt1355642	1	5	24
tt14179768	tt5057054	3	7	48
tt1424977	tt1355642	1	6	30
tt1425523	tt0460649	4	24	30
tt1429692	tt1355642	1	7	30
tt1433389	tt1355642	1	8	30
tt1434022	tt1355642	1	11	30
tt1434023	tt1355642	1	12	30
tt1434024	tt1355642	1	13	25
tt1434025	tt1355642	1	10	30
tt1434026	tt1355642	1	9	30
tt14500884	tt3581920	1	2	53
tt14500888	tt3581920	1	3	76
